date,CPI,Salary,M1A(期底）金額,M1B(期底),M2(期底),準備貨幣（通貨淨額）,重貼現率,基準放款利率,連鎖實質值_GDP合計_金額(新台幣百萬元),連鎖實質值_國內需求_金額(新台幣百萬元),連鎖實質值_民間消費_金額(新台幣百萬元),連鎖實質值_政府消費_金額(新台幣百萬元),連鎖實質值_資本形成_金額(新台幣百萬元),連鎖實質值_國外淨需求_金額(新台幣百萬元),連鎖實質值_商品與服務輸出_金額(新台幣百萬元),連鎖實質值_商品與服務輸入_金額(新台幣百萬元),道瓊工業指數(DJI),那斯達克指數(IXIC),標準普爾指數(GSPC),上證指數(SSEC),深圳成指(SZSC1),日經指數(N225), 摩台指 ,美元指數(DXM8), 費城半導體(SOX) , 黃金價格(Gold) ,WTI原油(WTIoil),十年期美債利率(TNXbond),台幣兌美元匯率(USD_TWD),台股成交量,外銷訂單指數(Index 2011=100),工業及服務業受僱員工淨進入率(%),核發建照面積(千平方公尺),半導體設備進口值(新台幣百萬元),工業生產指數(Index 2016=100),電力(企業)總用電量(十億度),製造業銷售量指數(Index 2016=100),批發、零售及餐飲業營業額(十億元),非農業部門就業人數(千人),海關出口值(十億元),機械及電機設備進口值(十億元),失業率(單位：％),台股加權指數,預測台股指數漲跌
2015/9/1,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,下降,下降,下降,下降,下降,持平,持平,持平,持平,上升,持平,上升,持平,持平,持平,持平,下降,持平,持平,下降,持平,上升,持平,持平,上升,持平,上升
2015/10/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,上升,持平,上升,上升,上升,持平,持平,持平,上升,上升,持平,持平,下降,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平
2015/11/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,上升,持平,上升,上升,上升,上升,上升,持平,下降,下降,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平
2015/12/1,持平,持平,上升,上升,上升,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,下降
2016/1/1,持平,上升,持平,持平,上升,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,下降,下降,下降,下降,下降,下降,持平,持平,下降,上升,下降,下降,上升,持平,持平,持平,上升,持平,持平,持平,持平,上升,持平,持平,下降,持平,下降,上升
2016/2/1,持平,下降,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,下降,持平,下降,持平,上升,持平,下降,持平,下降,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,上升,上升
2016/3/1,持平,下降,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,上升,上升,持平,持平,持平,持平,持平,上升,上升,上升,上升,下降,上升,下降,下降,下降,下降,下降,下降,下降,下降,持平,下降,下降,上升,上升,持平
2016/4/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,下降,上升,持平,持平,持平,上升,持平,持平,持平,上升,持平,持平,下降,持平,持平,上升,持平,下降,下降,上升,持平,上升,上升,上升,上升,上升,上升,持平,上升,上升,持平,持平,持平
2016/5/1,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,下降,持平,下降,持平,下降,持平,下降,持平,持平,持平,持平,持平,持平,上升
2016/6/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,下降,下降,持平,持平,持平,上升,上升,上升,上升,持平,持平,持平,持平,上升,持平,上升,持平
2016/7/1,持平,持平,持平,持平,上升,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,上升,上升,持平,上升,下降,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平
2016/8/1,持平,持平,上升,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,上升,下降,上升,持平,持平,持平,下降,持平,持平,上升,持平,上升,持平,持平,持平,持平,上升,持平,持平,上升,持平,持平
2016/9/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平
2016/10/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,上升,持平,持平,持平,持平,持平,持平,持平,上升,持平,下降,上升,上升,持平,持平,上升,持平,持平,持平,持平,下降,下降,持平,持平,下降,持平,下降,持平,持平
2016/11/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,上升,持平,下降,下降,上升,持平,上升,持平,持平,下降,上升,持平,持平,持平,持平,持平,上升,上升,持平,持平,持平
2016/12/1,持平,持平,上升,上升,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,上升,持平,持平,上升,持平,上升,上升,下降,上升,上升,上升,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平
2017/1/1,持平,上升,持平,持平,上升,上升,持平,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,下降,持平,下降,持平,上升,上升,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平
2017/2/1,持平,下降,下降,持平,上升,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,上升,持平,持平,上升,持平,持平,下降,上升,下降,持平,持平,持平,下降,下降,下降,持平,持平,下降,下降,持平,持平,持平
2017/3/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,下降,持平,下降,持平,下降,下降,下降,下降,下降,下降,持平,下降,下降,上升,持平,持平
2017/4/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,下降,下降,下降,上升,持平,上升,持平,上升,上升,上升,上升,持平,上升,上升,下降,持平,持平
2017/5/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,下降,持平,持平,持平,持平,下降,持平,下降,持平,持平,持平,下降,持平,下降,下降,持平,持平,持平,下降,持平,持平
2017/6/1,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,下降,持平,持平,上升,持平,持平,持平,下降,上升,上升,上升,持平,持平,持平,持平,持平,持平,持平
2017/7/1,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,下降,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,上升,持平,持平,上升,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平
2017/8/1,持平,持平,持平,上升,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,上升,持平,持平,持平,上升,持平,上升,上升,下降,持平,持平,持平,持平,上升,持平,上升,上升,持平,持平
2017/9/1,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,上升,上升,持平,持平,持平,持平,持平,持平
2017/10/1,持平,持平,持平,持平,上升,持平,持平,持平,上升,上升,持平,下降,上升,持平,持平,持平,上升,持平,持平,持平,持平,上升,持平,上升,上升,下降,持平,上升,持平,持平,上升,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平
2017/11/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,上升,持平,上升,持平,持平,上升,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平
2017/12/1,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升
2018/1/1,持平,上升,持平,持平,上升,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,上升,上升,上升,上升,持平,上升,上升,下降,上升,上升,上升,上升,下降,上升,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平
2018/2/1,持平,上升,持平,持平,上升,上升,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,下降,持平,持平,下降,下降,下降,持平,持平,持平,持平,持平,上升,持平,下降,下降,持平,持平,持平,持平,持平,持平,持平,持平,下降,上升,持平,持平,持平
2018/3/1,持平,下降,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,持平,上升,持平,持平,持平,持平,持平,持平,上升,下降,下降,下降,下降,下降,下降,下降,下降,持平,下降,下降,上升,持平,持平
